P_Account,P_Password,R_AccountNo,Amount
IQ11800,welcome,IQ11527,-71952.74725
IQ11806,welcome,IQ11529,-72075.27473
IQ11808,welcome,IQ11531,-72197.8022
IQ11822,welcome,IQ11533,-72320.32967
IQ11826,welcome,IQ11535,-72442.85714
IQ11828,welcome,IQ11537,-72565.38462
IQ11830,welcome,IQ11539,-72687.91209
IQ11833,welcome,IQ11541,-72810.43956
IQ11838,welcome,IQ11543,-72932.96703
IQ11840,welcome,IQ11545,-73055.49451
IQ11857,welcome,IQ11547,-73178.02198
IQ11876,welcome,IQ11549,-73300.54945
IQ11904,welcome,IQ11551,-73423.07692
IQ11908,welcome,IQ11553,-73545.6044
IQ11926,welcome,IQ11555,-73668.13187
IQ11932,welcome,IQ11557,-73790.65934
IQ11980,welcome,IQ11559,-73913.18681
IQ12017,welcome,IQ11561,-74035.71429
IQ12033,welcome,IQ11563,-74158.24176
IQ12035,welcome,IQ11565,-74280.76923
IQ12071,welcome,IQ11567,-74403.2967
IQ12099,welcome,IQ11569,-74525.82418
IQ12124,welcome,IQ11571,-74648.35165
IQ12127,welcome,IQ11573,-74770.87912
IQ12161,welcome,IQ11575,-74893.40659
IQ12177,welcome,IQ11577,-75015.93407
IQ12306,welcome,IQ11579,-75138.46154
IQ12342,welcome,IQ11581,-75260.98901
IQ12362,welcome,IQ11583,-75383.51648
IQ12510,welcome,IQ11585,-75506.04396
IQ12606,welcome,IQ11587,-75628.57143
IQ12814,welcome,IQ11589,-75751.0989
IQ12972,welcome,IQ11591,-75873.62637
IQ12973,welcome,IQ11593,-75996.15385
IQ12975,welcome,IQ11595,-76118.68132
IQ12977,welcome,IQ11597,-76241.20879
IQ12978,welcome,IQ11599,-76363.73626
IQ12979,welcome,IQ11601,-76486.26374
IQ12982,welcome,IQ11603,-76608.79121
IQ12983,welcome,IQ11605,-76731.31868
IQ12986,welcome,IQ11607,-76853.84615
IQ12988,welcome,IQ11609,-76976.37363
IQ12990,welcome,IQ11611,-77098.9011
IQ12992,welcome,IQ11613,-77221.42857
IQ12996,welcome,IQ11615,-77343.95604
IQ12998,welcome,IQ11617,-77466.48352
IQ13000,welcome,IQ11619,-77589.01099
IQ13002,welcome,IQ11621,-77711.53846
IQ13004,welcome,IQ11623,-77834.06593
IQ13007,welcome,IQ11625,-77956.59341
IQ13009,welcome,IQ11627,-78079.12088
IQ13015,welcome,IQ11629,-78201.64835
IQ13017,welcome,IQ11631,-78324.17582
IQ13021,welcome,IQ11633,-78446.7033
IQ13023,welcome,IQ11635,-78569.23077
IQ13024,welcome,IQ11637,-78691.75824
IQ13028,welcome,IQ11639,-78814.28571
IQ13029,welcome,IQ11641,-78936.81319
IQ13031,welcome,IQ11643,-79059.34066
IQ13033,welcome,IQ11645,-79181.86813
IQ13035,welcome,IQ11647,-79304.3956
IQ13039,welcome,IQ11649,-79426.92308
IQ13040,welcome,IQ11651,-79549.45055
IQ13041,welcome,IQ11653,-79671.97802
IQ13048,welcome,IQ11655,-79794.50549
IQ13049,welcome,IQ11657,-79917.03297
IQ13050,welcome,IQ11659,-80039.56044
IQ13052,welcome,IQ11661,-80162.08791
IQ13054,welcome,IQ11663,-80284.61538
IQ13055,welcome,IQ11665,-80407.14286
IQ13060,welcome,IQ11667,-80529.67033
IQ13063,welcome,IQ11669,-80652.1978
IQ13064,welcome,IQ11671,-80774.72527
IQ13067,welcome,IQ11673,-80897.25275
IQ13068,welcome,IQ11675,-81019.78022
IQ13069,welcome,IQ11677,-81142.30769
IQ13070,welcome,IQ11679,-81264.83516
IQ13073,welcome,IQ11681,-81387.36264
IQ13078,welcome,IQ11683,-81509.89011
IQ13079,welcome,IQ11685,-81632.41758
IQ13080,welcome,IQ11687,-81754.94505
IQ13082,welcome,IQ11689,-81877.47253
IQ13087,welcome,IQ11691,-82000
IQ13088,welcome,IQ11693,-82122.52747
IQ13089,welcome,IQ11695,-82245.05495
IQ13092,welcome,IQ11697,-82367.58242
IQ13093,welcome,IQ11699,-82490.10989
IQ13096,welcome,IQ11701,-82612.63736
IQ13099,welcome,IQ11703,-82735.16484
IQ13100,welcome,IQ11705,-82857.69231
IQ13102,welcome,IQ11707,-82980.21978
IQ13103,welcome,IQ11709,-83102.74725
IQ13104,welcome,IQ11711,-83225.27473
IQ13106,welcome,IQ11713,-83347.8022
IQ13109,welcome,IQ11715,-83470.32967
IQ13111,welcome,IQ11717,-83592.85714
IQ13113,welcome,IQ11719,-83715.38462
IQ13117,welcome,IQ11721,-83837.91209
IQ13119,welcome,IQ11723,-83960.43956
IQ13121,welcome,IQ11725,-84082.96703
IQ13124,welcome,IQ11727,-84205.49451
IQ13126,welcome,IQ11729,-84328.02198
IQ13128,welcome,IQ11731,-84450.54945
IQ13130,welcome,IQ11733,-84573.07692
IQ13133,welcome,IQ11735,-84695.6044
IQ13138,welcome,IQ11737,-84818.13187
IQ13140,welcome,IQ11739,-84940.65934
IQ13141,welcome,IQ11741,-85063.18681
IQ13150,welcome,IQ11743,-85185.71429
IQ13152,welcome,IQ11745,-85308.24176
IQ13155,welcome,IQ11747,-85430.76923
IQ13157,welcome,IQ11749,-85553.2967
IQ13158,welcome,IQ11751,-85675.82418
IQ13165,welcome,IQ11753,-85798.35165
IQ13166,welcome,IQ11755,-85920.87912
IQ13167,welcome,IQ11757,-86043.40659
IQ13168,welcome,IQ11759,-86165.93407
IQ13170,welcome,IQ11761,-86288.46154
IQ13175,welcome,IQ11763,-86410.98901
IQ13176,welcome,IQ11765,-86533.51648
IQ13177,welcome,IQ11767,-86656.04396
IQ13182,welcome,IQ11769,-86778.57143
IQ13183,welcome,IQ11771,-86901.0989
IQ13185,welcome,IQ11773,-87023.62637
IQ13191,welcome,IQ11775,-87146.15385
IQ13192,welcome,IQ11777,-87268.68132
IQ13195,welcome,IQ11779,-87391.20879
IQ13196,welcome,IQ11781,-87513.73626
IQ13202,welcome,IQ11783,-87636.26374
IQ13208,welcome,IQ11785,-87758.79121
IQ13210,welcome,IQ11787,-87881.31868
IQ13214,welcome,IQ11789,-88003.84615
IQ13228,welcome,IQ11791,-88126.37363
IQ13230,welcome,IQ11793,-88248.9011
IQ13231,welcome,IQ11795,-88371.42857
IQ13235,welcome,IQ11797,-88493.95604
IQ13237,welcome,IQ11799,-88616.48352
IQ13239,welcome,IQ11801,-88739.01099
IQ13240,welcome,IQ11803,-88861.53846
IQ13246,welcome,IQ11805,-88984.06593
IQ13249,welcome,IQ11807,-89106.59341
IQ13261,welcome,IQ11809,-89229.12088
IQ13263,welcome,IQ11811,-89351.64835
IQ13266,welcome,IQ11813,-89474.17582
IQ13269,welcome,IQ11815,-89596.7033
IQ13278,welcome,IQ11817,-89719.23077
IQ13282,welcome,IQ11819,-89841.75824
IQ13283,welcome,IQ11821,-89964.28571
IQ13293,welcome,IQ11823,-90086.81319
IQ13294,welcome,IQ11825,-90209.34066
IQ13300,welcome,IQ11827,-90331.86813
IQ13301,welcome,IQ11829,-90454.3956
IQ13305,welcome,IQ11831,-90576.92308
IQ13310,welcome,IQ11833,-90699.45055
IQ13312,welcome,IQ11835,-90821.97802
IQ13317,welcome,IQ11837,-90944.50549
IQ13321,welcome,IQ11839,-91067.03297
IQ13324,welcome,IQ11841,-91189.56044
IQ13326,welcome,IQ11843,-91312.08791
IQ13328,welcome,IQ11845,-91434.61538
IQ13331,welcome,IQ11847,-91557.14286
IQ13333,welcome,IQ11849,-91679.67033
IQ13336,welcome,IQ11851,-91802.1978
IQ13339,welcome,IQ11853,-91924.72527
IQ13343,welcome,IQ11855,-92047.25275
IQ13345,welcome,IQ11857,-92169.78022
IQ13348,welcome,IQ11859,-92292.30769
IQ13360,welcome,IQ11861,-92414.83516
IQ13363,welcome,IQ11863,-92537.36264
IQ13366,welcome,IQ11865,-92659.89011
IQ13381,welcome,IQ11867,-92782.41758
IQ13385,welcome,IQ11869,-92904.94505
IQ13392,welcome,IQ11871,-93027.47253
IQ13394,welcome,IQ11873,-93150
IQ13406,welcome,IQ11875,-93272.52747
IQ13418,welcome,IQ11877,-93395.05495
IQ13419,welcome,IQ11879,-93517.58242
IQ13433,welcome,IQ11881,-93640.10989
IQ13436,welcome,IQ11883,-93762.63736
IQ13442,welcome,IQ11885,-93885.16484
IQ13443,welcome,IQ11887,-94007.69231
IQ13446,welcome,IQ11889,-94130.21978
IQ13449,welcome,IQ11891,-94252.74725
IQ13452,welcome,IQ11893,-94375.27473
IQ13458,welcome,IQ11895,-94497.8022
IQ13459,welcome,IQ11897,-94620.32967
IQ13468,welcome,IQ11899,-94742.85714
IQ13470,welcome,IQ11901,-94865.38462
IQ13472,welcome,IQ11903,-94987.91209
IQ13473,welcome,IQ11905,-95110.43956
IQ13475,welcome,IQ11907,-95232.96703
IQ13480,welcome,IQ11909,-95355.49451
IQ13481,welcome,IQ11911,-95478.02198
IQ13482,welcome,IQ11913,-95600.54945
IQ13484,welcome,IQ11915,-95723.07692
IQ13485,welcome,IQ11917,-95845.6044
IQ13501,welcome,IQ11919,-95968.13187
IQ13502,welcome,IQ11921,-96090.65934
IQ13505,welcome,IQ11923,-96213.18681
IQ13506,welcome,IQ11925,-96335.71429
IQ13508,welcome,IQ11927,-96458.24176
IQ13521,welcome,IQ11929,-96580.76923
IQ13526,welcome,IQ11931,-96703.2967
IQ13536,welcome,IQ11933,-96825.82418
IQ13537,welcome,IQ11935,-96948.35165
IQ13550,welcome,IQ11937,-97070.87912
IQ13552,welcome,IQ11939,-97193.40659
IQ13556,welcome,IQ11941,-97315.93407
IQ13557,welcome,IQ11943,-97438.46154
IQ13559,welcome,IQ11945,-97560.98901
IQ13566,welcome,IQ11947,-97683.51648
IQ13568,welcome,IQ11949,-97806.04396
IQ13591,welcome,IQ11951,-97928.57143
IQ13597,welcome,IQ11953,-98051.0989
IQ13621,welcome,IQ11955,-98173.62637
IQ13652,welcome,IQ11957,-98296.15385
IQ13654,welcome,IQ11959,-98418.68132
IQ13667,welcome,IQ11961,-98541.20879
IQ13671,welcome,IQ11963,-98663.73626
IQ13674,welcome,IQ11965,-98786.26374
IQ13682,welcome,IQ11967,-98908.79121
IQ13686,welcome,IQ11969,-99031.31868
IQ13689,welcome,IQ11971,-99153.84615
IQ13693,welcome,IQ11973,-99276.37363
IQ13700,welcome,IQ11975,-99398.9011
IQ13711,welcome,IQ11977,-99521.42857
IQ13720,welcome,IQ11979,-99643.95604
IQ13731,welcome,IQ11981,-99766.48352
IQ13779,welcome,IQ11983,-99889.01099
IQ13935,welcome,IQ11985,-100011.5385
IQ13937,welcome,IQ11987,-100134.0659
IQ13939,welcome,IQ11989,-100256.5934
IQ13941,welcome,IQ11991,-100379.1209
IQ13943,welcome,IQ11993,-100501.6484
IQ13945,welcome,IQ11995,-100624.1758
IQ13948,welcome,IQ11997,-100746.7033
IQ13950,welcome,IQ11999,-100869.2308
IQ13951,welcome,IQ12001,-100991.7582
IQ13953,welcome,IQ12003,-101114.2857
IQ13955,welcome,IQ12005,-101236.8132
IQ13956,welcome,IQ12007,-101359.3407
IQ13958,welcome,IQ12009,-101481.8681
IQ13960,welcome,IQ12011,-101604.3956
IQ13961,welcome,IQ12013,-101726.9231
IQ13964,welcome,IQ12015,-101849.4505
IQ13966,welcome,IQ12017,-101971.978
IQ13969,welcome,IQ12019,-102094.5055
IQ13971,welcome,IQ12021,-102217.033
IQ13973,welcome,IQ12023,-102339.5604
IQ13974,welcome,IQ12025,-102462.0879
IQ13976,welcome,IQ12027,-102584.6154
IQ13978,welcome,IQ12029,-102707.1429
IQ13979,welcome,IQ12031,-102829.6703
IQ13980,welcome,IQ12033,-102952.1978
IQ13981,welcome,IQ12035,-103074.7253
IQ13984,welcome,IQ12037,-103197.2527
IQ13985,welcome,IQ12039,-103319.7802
IQ13989,welcome,IQ12041,-103442.3077
IQ13990,welcome,IQ12043,-103564.8352
IQ13992,welcome,IQ12045,-103687.3626
IQ13994,welcome,IQ12047,-103809.8901
IQ13998,welcome,IQ12049,-103932.4176
IQ13999,welcome,IQ12051,-104054.9451
IQ14002,welcome,IQ12053,-104177.4725
IQ14004,welcome,IQ12055,-104300
IQ14005,welcome,IQ12057,-104422.5275
IQ14008,welcome,IQ12059,-104545.0549
IQ14010,welcome,IQ12061,-104667.5824
IQ14011,welcome,IQ12063,-104790.1099
IQ14012,welcome,IQ12065,-104912.6374
IQ14013,welcome,IQ12067,-105035.1648
IQ14018,welcome,IQ12069,-105157.6923
IQ14020,welcome,IQ12071,-105280.2198
IQ14024,welcome,IQ12073,-105402.7473
IQ14025,welcome,IQ12075,-105525.2747
IQ14030,welcome,IQ12077,-105647.8022
IQ14031,welcome,IQ12079,-105770.3297
IQ14032,welcome,IQ12081,-105892.8571
IQ14034,welcome,IQ12083,-106015.3846
IQ14035,welcome,IQ12085,-106137.9121
IQ14036,welcome,IQ12087,-106260.4396
IQ14037,welcome,IQ12089,-106382.967
IQ14038,welcome,IQ12091,-106505.4945
IQ14039,welcome,IQ12093,-106628.022
IQ14040,welcome,IQ12095,-106750.5495
IQ14041,welcome,IQ12097,-106873.0769
IQ14043,welcome,IQ12099,-106995.6044
IQ14044,welcome,IQ12101,-107118.1319
IQ14053,welcome,IQ12103,-107240.6593
IQ14057,welcome,IQ12105,-107363.1868
IQ14058,welcome,IQ12107,-107485.7143
IQ14064,welcome,IQ12109,-107608.2418
IQ14065,welcome,IQ12111,-107730.7692
IQ14066,welcome,IQ12113,-107853.2967
IQ14068,welcome,IQ12115,-107975.8242
IQ14069,welcome,IQ12117,-108098.3516
IQ14071,welcome,IQ12119,-108220.8791
IQ14074,welcome,IQ12121,-108343.4066
IQ14075,welcome,IQ12123,-108465.9341
IQ14077,welcome,IQ12125,-108588.4615
IQ14078,welcome,IQ12127,-108710.989
IQ14079,welcome,IQ12129,-108833.5165
IQ14083,welcome,IQ12131,-108956.044
IQ14085,welcome,IQ12133,-109078.5714
IQ14086,welcome,IQ12135,-109201.0989
IQ14087,welcome,IQ12137,-109323.6264
IQ14088,welcome,IQ12139,-109446.1538
IQ14090,welcome,IQ12141,-109568.6813
IQ14091,welcome,IQ12143,-109691.2088
IQ14092,welcome,IQ12145,-109813.7363
IQ14094,welcome,IQ12147,-109936.2637
IQ14096,welcome,IQ12149,-110058.7912
IQ14097,welcome,IQ12151,-110181.3187
IQ14098,welcome,IQ12153,-110303.8462
IQ14099,welcome,IQ12155,-110426.3736
IQ14100,welcome,IQ12157,-110548.9011
IQ14101,welcome,IQ12159,-110671.4286
IQ14103,welcome,IQ12161,-110793.956
IQ14104,welcome,IQ12163,-110916.4835
IQ14105,welcome,IQ12165,-111039.011
IQ14110,welcome,IQ12167,-111161.5385
IQ14111,welcome,IQ12169,-111284.0659
IQ14119,welcome,IQ12171,-111406.5934
IQ14122,welcome,IQ12173,-111529.1209
IQ14124,welcome,IQ12175,-111651.6484
IQ14128,welcome,IQ12177,-111774.1758
IQ14130,welcome,IQ12179,-111896.7033
IQ14131,welcome,IQ12181,-112019.2308
IQ14135,welcome,IQ12183,-112141.7582
IQ14137,welcome,IQ12185,-112264.2857
IQ14140,welcome,IQ12187,-112386.8132
IQ14142,welcome,IQ12189,-112509.3407
IQ14144,welcome,IQ12191,-112631.8681
IQ14145,welcome,IQ12193,-112754.3956
IQ14146,welcome,IQ12195,-112876.9231
IQ14148,welcome,IQ12197,-112999.4505
IQ14149,welcome,IQ12199,-113121.978
IQ14152,welcome,IQ12201,-113244.5055
IQ14163,welcome,IQ12203,-113367.033
IQ14168,welcome,IQ12205,-113489.5604
IQ14169,welcome,IQ12207,-113612.0879
IQ14170,welcome,IQ12209,-113734.6154
IQ14171,welcome,IQ12211,-113857.1429
IQ14172,welcome,IQ12213,-113979.6703
IQ14173,welcome,IQ12215,-114102.1978
IQ14174,welcome,IQ12217,-114224.7253
IQ14179,welcome,IQ12219,-114347.2527
IQ14182,welcome,IQ12221,-114469.7802
IQ14185,welcome,IQ12223,-114592.3077
IQ14186,welcome,IQ12225,-114714.8352
IQ14187,welcome,IQ12227,-114837.3626
IQ14191,welcome,IQ12229,-114959.8901
IQ14196,welcome,IQ12231,-115082.4176
IQ14197,welcome,IQ12233,-115204.9451
IQ14201,welcome,IQ12235,-115327.4725
IQ14204,welcome,IQ12237,-115450
IQ14207,welcome,IQ12239,-115572.5275
IQ14209,welcome,IQ12241,-115695.0549
IQ14211,welcome,IQ12243,-115817.5824
IQ14213,welcome,IQ12245,-115940.1099
IQ14215,welcome,IQ12247,-116062.6374
IQ14219,welcome,IQ12249,-116185.1648
IQ14221,welcome,IQ12251,-116307.6923
IQ14223,welcome,IQ12253,-116430.2198
IQ14224,welcome,IQ12255,-116552.7473
IQ14225,welcome,IQ12257,-116675.2747
IQ14230,welcome,IQ12259,-116797.8022
IQ14232,welcome,IQ12261,-116920.3297
IQ14234,welcome,IQ12263,-117042.8571
IQ14236,welcome,IQ12265,-117165.3846
IQ14238,welcome,IQ12267,-117287.9121
IQ14242,welcome,IQ12269,-117410.4396
IQ14245,welcome,IQ12271,-117532.967
IQ14249,welcome,IQ12273,-117655.4945
IQ14251,welcome,IQ12275,-117778.022
IQ14253,welcome,IQ12277,-117900.5495
IQ14257,welcome,IQ12279,-118023.0769
IQ14259,welcome,IQ12281,-118145.6044
IQ14261,welcome,IQ12283,-118268.1319
IQ14263,welcome,IQ12285,-118390.6593
IQ14266,welcome,IQ12287,-118513.1868
IQ14269,welcome,IQ12289,-118635.7143
IQ14271,welcome,IQ12291,-118758.2418
IQ14273,welcome,IQ12293,-118880.7692
,welcome,IQ12295,-119003.2967
,welcome,IQ12297,-119125.8242
,welcome,IQ12299,-119248.3516
,welcome,IQ12301,-119370.8791
,welcome,IQ12303,-119493.4066
,welcome,IQ12305,-119615.9341
,welcome,IQ12307,-119738.4615
,welcome,IQ12309,-119860.989
,welcome,IQ12311,-119983.5165
,welcome,IQ12313,-120106.044
,welcome,IQ12315,-120228.5714
,welcome,IQ12317,-120351.0989
,welcome,IQ12319,-120473.6264
,welcome,IQ12321,-120596.1538
,welcome,IQ12323,-120718.6813
,welcome,IQ12325,-120841.2088
,welcome,IQ12327,-120963.7363
,welcome,IQ12329,-121086.2637
,welcome,IQ12331,-121208.7912
,welcome,IQ12333,-121331.3187
,welcome,IQ12335,-121453.8462
,welcome,IQ12337,-121576.3736
,welcome,IQ12339,-121698.9011
,welcome,IQ12341,-121821.4286
,welcome,IQ12343,-121943.956
,welcome,IQ12345,-122066.4835
,welcome,IQ12347,-122189.011
,welcome,IQ12349,-122311.5385
,welcome,IQ12351,-122434.0659
,welcome,IQ12353,-122556.5934
,welcome,IQ12355,-122679.1209
,welcome,IQ12357,-122801.6484
,welcome,IQ12359,-122924.1758
,welcome,IQ12361,-123046.7033
,welcome,IQ12363,-123169.2308
,welcome,IQ12365,-123291.7582
,welcome,IQ12367,-123414.2857
,welcome,IQ12369,-123536.8132
,welcome,IQ12371,-123659.3407
,welcome,IQ12373,-123781.8681
,welcome,IQ12375,-123904.3956
,welcome,IQ12377,-124026.9231
,welcome,IQ12379,-124149.4505
,welcome,IQ12381,-124271.978
,welcome,IQ12383,-124394.5055
,welcome,IQ12385,-124517.033
,welcome,IQ12387,-124639.5604
,welcome,IQ12389,-124762.0879
,welcome,IQ12391,-124884.6154
,welcome,IQ12393,-125007.1429
,welcome,IQ12395,-125129.6703
,welcome,IQ12397,-125252.1978
,welcome,IQ12399,-125374.7253
,welcome,IQ12401,-125497.2527
,welcome,IQ12403,-125619.7802
,welcome,IQ12405,-125742.3077
,welcome,IQ12407,-125864.8352
,welcome,IQ12409,-125987.3626
,welcome,IQ12411,-126109.8901
,welcome,IQ12413,-126232.4176
,welcome,IQ12415,-126354.9451
,welcome,IQ12417,-126477.4725
,welcome,IQ12419,-126600
,welcome,IQ12421,-126722.5275
,welcome,IQ12423,-126845.0549
,welcome,IQ12425,-126967.5824
,welcome,IQ12427,-127090.1099
,welcome,IQ12429,-127212.6374
,welcome,IQ12431,-127335.1648
,welcome,IQ12433,-127457.6923
,welcome,IQ12435,-127580.2198
,welcome,IQ12437,-127702.7473
,welcome,IQ12439,-127825.2747
,welcome,IQ12441,-127947.8022
,welcome,IQ12443,-128070.3297
,welcome,IQ12445,-128192.8571
,welcome,IQ12447,-128315.3846
,welcome,IQ12449,-128437.9121
,welcome,IQ12451,-128560.4396
,welcome,IQ12453,-128682.967
,welcome,IQ12455,-128805.4945
,welcome,IQ12457,-128928.022
,welcome,IQ12459,-129050.5495
,welcome,IQ12461,-129173.0769
,welcome,IQ12463,-129295.6044
,welcome,IQ12465,-129418.1319
,welcome,IQ12467,-129540.6593
,welcome,IQ12469,-129663.1868
,welcome,IQ12471,-129785.7143
,welcome,IQ12473,-129908.2418
,welcome,IQ12475,-130030.7692
,welcome,IQ12477,-130153.2967
,welcome,IQ12479,-130275.8242
,welcome,IQ12481,-130398.3516
,welcome,IQ12483,-130520.8791
,welcome,IQ12485,-130643.4066
,welcome,IQ12487,-130765.9341
,welcome,IQ12489,-130888.4615
,welcome,IQ12491,-131010.989
,welcome,,-131133.5165
,welcome,,-131256.044
,welcome,,-131378.5714
,welcome,,-131501.0989
,welcome,,-131623.6264
,welcome,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
